from_entity_id,to_entity_id,type,weight,evidence_url,note
TLN,AMZN,customer,0.9,https://www.talenenergy.com/news,Susquehanna nuclear PPA with AWS datacenter
VST,MSFT,customer,0.5,https://investor.vistracorp.com,Power supply discussions for AI datacenters
CEG,VST,competitor,0.7,https://www.utilitydive.com,Nuclear/IPP peers with AI-power exposure
CEG,TLN,competitor,0.7,https://www.utilitydive.com,Nuclear-heavy IPP peers
VST,TLN,competitor,0.6,https://www.utilitydive.com,Independent power producer peers
NRG,VST,competitor,0.6,https://www.utilitydive.com,Texas IPP/retail power peers
GEV,CEG,supplier,0.7,https://www.gevernova.com/news,Nuclear services and grid equipment supplier
GEV,VST,supplier,0.6,https://www.gevernova.com/news,Gas turbines and grid gear for IPPs
GEV,TLN,supplier,0.5,https://www.gevernova.com/news,Grid/turbine equipment supplier
GEV,MSFT,supplier,0.6,https://www.gevernova.com/news,Grid transformers and turbines for datacenters
GEV,GOOGL,supplier,0.5,https://www.gevernova.com/news,Power equipment for hyperscaler buildouts
GEV,AMZN,supplier,0.5,https://www.gevernova.com/news,Power equipment for AWS datacenters
ETN,MSFT,supplier,0.7,https://www.eaton.com/us/en-us/company/news-insights.html,Datacenter electrical/PDU supplier
ETN,GOOGL,supplier,0.6,https://www.eaton.com/us/en-us/company/news-insights.html,Datacenter power management gear
ETN,AMZN,supplier,0.6,https://www.eaton.com/us/en-us/company/news-insights.html,Datacenter electrical infrastructure
ETN,META,supplier,0.6,https://www.eaton.com/us/en-us/company/news-insights.html,Datacenter switchgear and UPS
ETN,VRT,competitor,0.6,https://www.vertiv.com/en-us/about,Overlap in datacenter power management
PWR,GEV,partner,0.7,https://investors.quantaservices.com,Installs GE Vernova grid/transmission equipment
PWR,MSFT,supplier,0.5,https://investors.quantaservices.com,Datacenter electrical infrastructure construction
PWR,GOOGL,supplier,0.5,https://investors.quantaservices.com,Datacenter buildout services
PWR,AMZN,supplier,0.5,https://investors.quantaservices.com,Datacenter and grid construction
VRT,MSFT,supplier,0.8,https://investors.vertiv.com,Liquid cooling and power for Azure AI sites
VRT,GOOGL,supplier,0.7,https://investors.vertiv.com,Cooling/thermal supplier
VRT,META,supplier,0.7,https://investors.vertiv.com,Liquid cooling for AI clusters
VRT,AMZN,supplier,0.6,https://investors.vertiv.com,AWS thermal management supplier
VRT,NVDA,partner,0.7,https://investors.vertiv.com,Reference designs for GB200 NVL72 cooling
CRWV,MSFT,customer,0.7,https://www.coreweave.com,Largest customer; reported >50% revenue
CRWV,NVDA,partner,0.9,https://www.coreweave.com,Equity stake; preferential GPU allocation
NBIS,MSFT,customer,0.7,https://group.nebius.com/investors,Multi-billion AI infra capacity deal
NBIS,NVDA,partner,0.8,https://group.nebius.com/investors,Strategic NVDA equity investment; GPU allocation
GOOGL,AVGO,partner,1.0,https://investors.broadcom.com,TPU co-design partnership across generations
META,AVGO,partner,0.8,https://investors.broadcom.com,MTIA ASIC co-design
AMZN,MRVL,partner,0.9,https://investor.marvell.com,Trainium2 co-design partnership
MSFT,GOOGL,competitor,0.9,https://www.microsoft.com/en-us/Investor,Hyperscaler cloud and AI services rivals
AMZN,GOOGL,competitor,0.9,https://ir.aboutamazon.com,AWS vs GCP cloud rivalry
AMZN,MSFT,competitor,1.0,https://ir.aboutamazon.com,AWS vs Azure cloud duopoly
GOOGL,META,peer,0.5,https://abc.xyz/investor,Top-tier AI capex spenders
ORCL,MSFT,peer,0.5,https://investor.oracle.com,Cloud capex ramp; OCI partners with Azure
CRWV,NBIS,competitor,0.8,https://www.coreweave.com,Pure-play GPU neocloud peers
INTC,TSM,customer,0.5,https://www.intc.com,Intel uses TSMC for some tile production (Lunar Lake)
SAMSUNG,TSM,competitor,0.8,https://www.tsmc.com/english,Foundry leading-edge competitor (Samsung Foundry)
INTC,SAMSUNG,competitor,0.5,https://www.intc.com,Foundry and memory adjacency competitors
QCOM,AVGO,competitor,0.5,https://www.qualcomm.com/news,Wireless/connectivity competitors
QCOM,ARM,partner,0.9,https://www.qualcomm.com/news,Architectural licensee; Oryon CPU
ALAB,CRDO,competitor,0.7,https://investors.asteralabs.com,Connectivity silicon (retimers/AECs) overlap
SMCI,DELL,competitor,0.8,https://www.supermicro.com/en/pressreleases,AI server OEM rivalry
ANET,COHR,partner,0.5,https://investors.arista.com,Switches paired with Coherent optics in AI fabrics
TSM,ALAB,partner,0.5,https://www.tsmc.com/english/dedicatedFoundry/services/cowos,CoWoS substrate ecosystem partnership
NVDA,ANET,partner,0.5,https://investors.arista.com,Spectrum-X plus Arista AI Ethernet alternative
NVDA,DELL,partner,0.8,https://investors.delltechnologies.com,Reference architectures and AI Factory program
NVDA,HPE,partner,0.6,https://investors.hpe.com,AI factory partnership; co-engineered systems
NVDA,SMCI,partner,0.9,https://www.supermicro.com/en/pressreleases,Tightest OEM partner; first-to-market on platforms
NVDA,VRT,partner,0.7,https://investors.vertiv.com,Liquid cooling reference designs for Blackwell
NVDA,ORCL,partner,0.7,https://investor.oracle.com,Joint AI cloud and supercomputer deals
INTC,ARM,competitor,0.6,https://www.intc.com,x86 vs ARM datacenter ISA rivalry
TSM,SMIC,competitor,0.5,https://www.tsmc.com/english,Foundry competitor (China; export-restricted)
ASML,SMIC,supplier,0.3,https://www.asml.com/en/investors,DUV-only supplier post EUV export ban
ASE,TSM,partner,0.7,https://ir.aseglobal.com,OSAT advanced packaging partner (CoWoS overflow)
AMKR,TSM,partner,0.6,https://ir.amkor.com,Arizona advanced packaging partner
ASE,AMKR,competitor,0.9,https://ir.aseglobal.com,Top-2 OSAT global competitors
ASE,JCET,competitor,0.7,https://ir.aseglobal.com,Global OSAT peers
CDNS,ARM,partner,0.6,https://www.cadence.com/en_US/home/company/newsroom.html,EDA tooling and IP integration with ARM
SNPS,ARM,partner,0.6,https://news.synopsys.com,EDA tooling and IP integration with ARM
CDNS,TSM,partner,0.7,https://www.cadence.com/en_US/home/company/newsroom.html,Reference flows for TSMC nodes (N3/N2)
SNPS,TSM,partner,0.7,https://news.synopsys.com,Reference flows and IP for TSMC nodes
ANET,CRDO,customer,0.4,https://investors.arista.com,AEC adoption in Arista AI fabrics
META,CRWV,customer,0.5,https://www.coreweave.com,Reported $14B compute deal
MSFT,CRWV,customer,0.7,https://www.coreweave.com,Largest neocloud capacity buyer
GOOGL,TSM,customer,0.7,https://www.tsmc.com/english,TPU silicon fabbed at TSMC leading edge
META,TSM,customer,0.5,https://www.tsmc.com/english,MTIA ASIC fabbed at TSMC
AMZN,TSM,customer,0.6,https://www.tsmc.com/english,Trainium/Graviton fabbed at TSMC
MSFT,TSM,customer,0.5,https://www.tsmc.com/english,Maia/Cobalt silicon fabbed at TSMC
AAPL,TSM,customer,1.0,https://www.apple.com/newsroom,Sole foundry for Apple silicon
QCOM,TSM,customer,0.7,https://www.qualcomm.com/news,Snapdragon leading-edge fabbed at TSMC
NVDA,TSM,customer,1.0,https://www.tsmc.com/english,Sole foundry for NVDA leading-edge GPUs
AMD,TSM,customer,1.0,https://ir.amd.com/news-events/press-releases,Sole foundry for AMD CPUs and GPUs
AVGO,TSM,customer,0.9,https://investors.broadcom.com,Custom ASICs and networking silicon at TSMC
MRVL,TSM,customer,0.9,https://investor.marvell.com,Custom AI silicon fabbed at TSMC
TSM,GOOGL,supplier,0.7,https://www.tsmc.com/english,Foundry partner for TPU generations
META,NVDA,customer,0.9,https://investor.fb.com,Multi-100k GPU AI cluster build-out
GOOGL,NVDA,customer,0.6,https://abc.xyz/investor,GCP NVDA capacity alongside TPU
ORCL,NVDA,customer,0.8,https://investor.oracle.com,OCI superclusters built on NVDA Hopper/Blackwell
